Emp_id,First_name,Last_name,Mobile_no,Email,DOB,Date_of_joining,Department,Salary,Username,Password
21499,Ashbey,Curnow,8531318978,acurnowk@shoppx24.com,1961-12-26,2000-07-07,IT,2377464,acurnowk,707c8b8c0daca3d652be4f438eb728f422ca701ea2d9cc8d40491b6d96ce1c84
84473,Rosalind,Ditchett,7379741034,rditchettl@shoppx24.com,1974-09-23,2008-12-03,Management,781305,rditchettl,85b7cdd40c886f84afadd0bdae414260244899e2b9fc107bb008dec08763bb5c
29203,Nerita,Mountfort,1582963534,nmountfortm@shoppx24.com,1970-12-09,2009-10-20,Customer_service,3566119,nmountfortm,18a9671944b1f38218df3223c21d4d2e39c1dac16b7d20da69c28b55dd45f7c9
46167,Perle,Clews,3162408614,pclewsn@shoppx24.com,1968-06-07,2000-02-19,IT,3724673,pclewsn,960483172261ec2c3b3cf87b1246750259a3206ebc6174166fb4fe79024c16ea
92063,Sheena,Cragoe,8057807697,scragoeo@shoppx24.com,1975-09-24,2017-05-01,Management,2495989,scragoeo,3b875a963228ae3daaccd7fb61d472f557cab50db38990d0cbd337c9b044b3b2
91069,Emmie,Sunnex,4274670476,esunnexp@shoppx24.com,1976-12-24,2005-11-12,Customer_service,4243202,esunnexp,87f013e7fda5bca3c598aca11d376c2734245818596e0d8f6881ec3e9eade853
73925,Yancey,MacCosty,4685795145,ymaccostyq@shoppx24.com,1976-03-07,1999-12-06,Management,3994905,ymaccostyq,2532141345d0d46ef03ad6fc134d4e2b6e55e70b6b749679d5a0d86a9b46a2ee
79829,Ave,Plumbe,3781024581,aplumber@shoppx24.com,1992-08-23,2005-07-01,Warehouse,3162993,aplumber,cb708a62c9b1303641e09383afddbe2f881386431932cc746216e34ebf7ec03e
62151,Roderick,Guichard,6343022381,rguichards@shoppx24.com,1968-11-30,1990-12-26,Customer_service,706667,rguichards,5e47ad433c4db25509b20c68c7a5bb0f2daea6e5b56118a3e9bed667fcef7f06
73649,Kacey,Maultby,3991037583,kmaultbyt@shoppx24.com,1971-07-23,1993-08-10,Accounts,677085,kmaultbyt,4da90a073870353d1f0774dbf6ba09c233518e0919cc3a4ebc48f8eeacc1cef8
83353,Wang,Pollitt,5619376996,wpollittu@shoppx24.com,1986-06-25,2009-03-26,Accounts,4215928,wpollittu,79dcc61d94b43bf1ff54ad313da234e245562a4630d497d40c8d74a50953cbaf
55419,Peter,Persich,1157364192,ppersichv@shoppx24.com,1984-08-15,2013-10-28,Warehouse,2308141,ppersichv,cc6117ceac031cdbca32238d658c4aa2a2e7e9e37b1828f2531187d99f771a8a
90057,Marie-jeanne,Arstingall,2289176096,marstingallw@shoppx24.com,1975-06-26,2005-05-16,Management,1914728,marstingallw,c732786a51ddbc35327838aca8c4fff1d218615574781098d88757702354bed4
65103,Alexis,Nafzger,6302872692,anafzgerx@shoppx24.com,1981-08-19,2008-10-04,Accounts,2885158,anafzgerx,408b1c8626b8e916bae789f98a3117877d5640d36d675b8e7b535f3231e28d6a
57388,Osbourn,Wyldbore,9354839752,owyldborey@shoppx24.com,1980-11-23,1997-10-05,Warehouse,2894406,owyldborey,aeeef5806386069d3ac1363221c95d3cac4fd9a11c44fba678132d7fdaa09116
10528,Cristiano,Malinowski,7433676902,cmalinowskiz@shoppx24.com,1999-08-06,2017-09-19,Marketing,4168301,cmalinowskiz,735792bbf0027d0a048e5d59ed2ab9b178f366d36b9cd4caad43b29885b93d70
92913,Paolina,Van Brug,6072571563,pvanbrug10@shoppx24.com,1980-12-03,2011-08-15,Customer_service,1974811,pvanbrug10,9b2e812bbdc7b5005340636d7c14e1bc03ebd443f54befb2e9c64414dd870bab
90105,Aidan,McGarrie,4201333284,amcgarrie11@shoppx24.com,1991-07-17,2001-04-15,Accounts,2106847,amcgarrie11,81ea4975d5ae38bbbed91adeac87941302b6f5aeb2aa63e5b501b093d4b0f9ee
26200,Gonzales,Cartmell,5289465975,gcartmell12@shoppx24.com,1963-09-25,2020-07-08,Customer_service,409560,gcartmell12,f713cc6c0efea0bf347de0762ef1438ce4f87bf0e31f04ef2e7ea2b15c4c5cec
14576,Andy,Conibere,8926147571,aconibere13@shoppx24.com,1982-08-11,2021-03-04,IT,1629213,aconibere13,d0211497bffab1b4a5668f725325b0afc2cba851eebbc10541d2973b1e68a987
77104,Way,Justice,2822507703,wjustice14@shoppx24.com,1978-11-03,2000-08-27,Customer_service,2883761,wjustice14,cc12990f405f2ff70ac814ff7896eb32cb6f8ada881698490ed676c0a14b094a
94775,Sib,Clapperton,9592037963,sclapperton15@shoppx24.com,1996-03-13,2012-11-12,Management,4046263,sclapperton15,40663a921e01371d60cdd114571911c54ff532b587cfd0ab734a03ed1bb3e403
27184,Janaya,Dimbylow,1052265258,jdimbylow16@shoppx24.com,1986-03-19,2015-08-10,IT,2549190,jdimbylow16,d31d82de62f5dc33ce1aea354b2957b70118c75756b117569a21c8b15ce1bf27
18567,Abba,Godbold,2618654722,agodbold17@shoppx24.com,1975-12-05,1990-02-18,IT,3581262,agodbold17,a1fc4b4ccdd74bfc7077a23ba597caf2cef66163b2e3d035ef221c939f137cf0
99759,Aubree,Beavors,9076336408,abeavors18@shoppx24.com,1977-11-15,2019-02-01,IT,2549678,abeavors18,6361fdb7701dd3e7fa5890682ae225da423708e8ffd02620cc286dddc2597123
82731,Archibold,Rappport,5008782538,arappport19@shoppx24.com,1960-06-22,2013-04-24,Warehouse,4026386,arappport19,9514184fc19163e436d15d87c5321fad903c7dad0f4192d8098b0d868f014570
22285,Sandie,Pimlock,8673175340,spimlock1a@shoppx24.com,1991-03-28,2018-04-04,Management,3569763,spimlock1a,5865d874ff8e757e1b40f990b191832e5da6cb42debcba9fac7ecc14e0cf312c
12541,Jacquenetta,Ballantine,9761776788,jballantine1b@shoppx24.com,1981-04-13,1999-08-08,IT,3511443,jballantine1b,0b2f90f66de3701ac90703f981a0c4d602f527babdcb3762b5bebf6de65197dd
73939,Banky,Wooldridge,5182617799,bwooldridge1c@shoppx24.com,1995-11-01,2017-12-21,Management,384546,bwooldridge1c,d87a736a7eaf5615d802d666bb3eaba0d1bf315b90c778ecbcb47f390ab65fd6
74623,Wes,Tortis,3394016881,wtortis1d@shoppx24.com,1982-06-19,1996-11-28,Marketing,625789,wtortis1d,ad2fa9c2c683c5bad6acd483fd3b8ddd863783dbc650778dbc6296a9815c4481
