emp_id,first_name,last_name,phone_no,email_id,doj,house_no,locality,city,state,country,pin_code,dob,department,salary,gender,username,pass_word
46167,Perle,Clews,3162408614,pclewsn@shoppx24.com,19-02-2000,717,Commercial,New Orleans,Louisiana,USA,586701,07-06-1968,IT,3724673,m,pclewsn,960483172261ec2c3b3cf87b1246750259a3206ebc6174166fb4fe79024c16ea
92063,Sheena,Cragoe,8057807697,scragoeo@shoppx24.com,01-05-2017,712,Trailsway,Riverside,California,USA,295271,24-09-1975,Management,2495989,m,scragoeo,3b875a963228ae3daaccd7fb61d472f557cab50db38990d0cbd337c9b044b3b2
91069,Emmie,Sunnex,4274670476,esunnexp@shoppx24.com,12-11-2005,888,Kipling,Cincinnati,Ohio,USA,849509,24-12-1976,Customer_service,4243202,m,esunnexp,87f013e7fda5bca3c598aca11d376c2734245818596e0d8f6881ec3e9eade853
73925,Yancey,MacCosty,4685795145,ymaccostyq@shoppx24.com,06-12-1999,173,Oak,Saint Louis,Missouri,USA,470625,07-03-1976,Management,3994905,f,ymaccostyq,2532141345d0d46ef03ad6fc134d4e2b6e55e70b6b749679d5a0d86a9b46a2ee
79829,Ave,Plumbe,3781024581,aplumber@shoppx24.com,01-07-2005,162,Bluejay,Los Angeles,California,USA,481898,23-08-1992,Warehouse,3162993,m,aplumber,cb708a62c9b1303641e09383afddbe2f881386431932cc746216e34ebf7ec03e
62151,Roderick,Guichard,6343022381,rguichards@shoppx24.com,26-12-1990,217,Toban,Sacramento,California,USA,622352,30-11-1968,Customer_service,706667,m,rguichards,5e47ad433c4db25509b20c68c7a5bb0f2daea6e5b56118a3e9bed667fcef7f06
73649,Kacey,Maultby,3991037583,kmaultbyt@shoppx24.com,10-08-1993,437,Melrose,Daytona Beach,Florida,USA,958209,23-07-1971,Accounts,677085,f,kmaultbyt,4da90a073870353d1f0774dbf6ba09c233518e0919cc3a4ebc48f8eeacc1cef8
83353,Wang,Pollitt,5619376996,wpollittu@shoppx24.com,26-03-2009,956,Farragut,Chicago,Illinois,USA,302618,25-06-1986,Accounts,4215928,m,wpollittu,79dcc61d94b43bf1ff54ad313da234e245562a4630d497d40c8d74a50953cbaf
55419,Peter,Persich,1157364192,ppersichv@shoppx24.com,28-10-2013,688,Thierer,Topeka,Kansas,USA,951896,15-08-1984,Warehouse,2308141,f,ppersichv,cc6117ceac031cdbca32238d658c4aa2a2e7e9e37b1828f2531187d99f771a8a
90057,Marie-jeanne,Arstingall,2289176096,marstingallw@shoppx24.com,16-05-2005,176,Corscot,Arlington,Texas,USA,903594,26-06-1975,Management,1914728,f,marstingallw,c732786a51ddbc35327838aca8c4fff1d218615574781098d88757702354bed4
65103,Alexis,Nafzger,6302872692,anafzgerx@shoppx24.com,04-10-2008,822,Continental,Hartford,Connecticut,USA,170407,19-08-1981,Accounts,2885158,m,anafzgerx,408b1c8626b8e916bae789f98a3117877d5640d36d675b8e7b535f3231e28d6a
57388,Osbourn,Wyldbore,9354839752,owyldborey@shoppx24.com,05-10-1997,975,Merrick,Tampa,Florida,USA,827447,23-11-1980,Warehouse,2894406,m,owyldborey,aeeef5806386069d3ac1363221c95d3cac4fd9a11c44fba678132d7fdaa09116
10528,Cristiano,Malinowski,7433676902,cmalinowskiz@shoppx24.com,19-09-2017,799,Linden,Bowie,Maryland,USA,997758,06-08-1999,Marketing,4168301,f,cmalinowskiz,735792bbf0027d0a048e5d59ed2ab9b178f366d36b9cd4caad43b29885b93d70
92913,Paolina,Van Brug,6072571563,pvanbrug10@shoppx24.com,15-08-2011,166,Green Ridge,Saint Paul,Minnesota,USA,124631,03-12-1980,Customer_service,1974811,m,pvanbrug10,9b2e812bbdc7b5005340636d7c14e1bc03ebd443f54befb2e9c64414dd870bab
90105,Aidan,McGarrie,4201333284,amcgarrie11@shoppx24.com,15-04-2001,360,Pearson,Kansas City,Missouri,USA,416471,17-07-1991,Accounts,2106847,f,amcgarrie11,81ea4975d5ae38bbbed91adeac87941302b6f5aeb2aa63e5b501b093d4b0f9ee
26200,Gonzales,Cartmell,5289465975,gcartmell12@shoppx24.com,08-07-2020,724,Cherokee,El Paso,Texas,USA,804351,25-09-1963,Customer_service,409560,f,gcartmell12,f713cc6c0efea0bf347de0762ef1438ce4f87bf0e31f04ef2e7ea2b15c4c5cec
14576,Andy,Conibere,8926147571,aconibere13@shoppx24.com,04-03-2021,275,Talisman,Washington,District of Columbia,USA,848273,11-08-1982,IT,1629213,f,aconibere13,d0211497bffab1b4a5668f725325b0afc2cba851eebbc10541d2973b1e68a987
77104,Way,Justice,2822507703,wjustice14@shoppx24.com,27-08-2000,437,Sherman,Pompano Beach,Florida,USA,974260,03-11-1978,Customer_service,2883761,m,wjustice14,cc12990f405f2ff70ac814ff7896eb32cb6f8ada881698490ed676c0a14b094a
94775,Sib,Clapperton,9592037963,sclapperton15@shoppx24.com,12-11-2012,341,Gina,New York City,New York,USA,709952,13-03-1996,Management,4046263,m,sclapperton15,40663a921e01371d60cdd114571911c54ff532b587cfd0ab734a03ed1bb3e403
27184,Janaya,Dimbylow,1052265258,jdimbylow16@shoppx24.com,10-08-2015,765,Forster,Fort Wayne,Indiana,USA,834656,19-03-1986,IT,2549190,m,jdimbylow16,d31d82de62f5dc33ce1aea354b2957b70118c75756b117569a21c8b15ce1bf27
18567,Abba,Godbold,2618654722,agodbold17@shoppx24.com,18-02-1990,832,Karstens,Peoria,Illinois,USA,625846,05-12-1975,IT,3581262,m,agodbold17,a1fc4b4ccdd74bfc7077a23ba597caf2cef66163b2e3d035ef221c939f137cf0
99759,Aubree,Beavors,9076336408,abeavors18@shoppx24.com,01-02-2019,912,Dovetail,Chicago,Illinois,USA,909752,15-11-1977,IT,2549678,f,abeavors18,6361fdb7701dd3e7fa5890682ae225da423708e8ffd02620cc286dddc2597123
82731,Archibold,Rappport,5008782538,arappport19@shoppx24.com,24-04-2013,629,Kim,Saint Petersburg,Florida,USA,323051,22-06-1960,Warehouse,4026386,m,arappport19,9514184fc19163e436d15d87c5321fad903c7dad0f4192d8098b0d868f014570
22285,Sandie,Pimlock,8673175340,spimlock1a@shoppx24.com,04-04-2018,532,Hermina,Detroit,Michigan,USA,585923,28-03-1991,Management,3569763,m,spimlock1a,5865d874ff8e757e1b40f990b191832e5da6cb42debcba9fac7ecc14e0cf312c
12541,Jacquenetta,Ballantine,9761776788,jballantine1b@shoppx24.com,08-08-1999,381,Forest Run,Scottsdale,Arizona,USA,759521,13-04-1981,IT,3511443,m,jballantine1b,0b2f90f66de3701ac90703f981a0c4d602f527babdcb3762b5bebf6de65197dd
73939,Banky,Wooldridge,5182617799,bwooldridge1c@shoppx24.com,21-12-2017,251,Ridgeway,San Bernardino,California,USA,119688,01-11-1995,Management,384546,f,bwooldridge1c,d87a736a7eaf5615d802d666bb3eaba0d1bf315b90c778ecbcb47f390ab65fd6
74623,Wes,Tortis,3394016881,wtortis1d@shoppx24.com,28-11-1996,254,South,Houston,Texas,USA,194716,19-06-1982,Marketing,625789,f,wtortis1d,ad2fa9c2c683c5bad6acd483fd3b8ddd863783dbc650778dbc6296a9815c4481
