emp_id,first_name,last_name,phone_no,email_id,dob,doj,house_no,locality,city,state,country,pincode,department,salary,username,password
E43664,Willi,Ousley,7083784084,wousleya@shoppx24.com,30-01-1988,09-06-2009,56,Jenifer,Amarillo,Texas,USA,501732,Warehouse,1780393,wousleya,be264e6394568d82b3c5a248000b95d6750a8790a0a95f2236565d45b6bdb6ab
E64715,Chery,Grzelak,4029950037,cgrzelakb@shoppx24.com,26-05-1984,16-05-2011,856,Pine View,Cincinnati,Ohio,USA,924505,Management,4685334,cgrzelakb,e2716fbf31611382de5b14bf30127b0755b5e79e948d193c0e4c8c348846bbc5
E59571,Conni,Brend,3914417424,cbrendc@shoppx24.com,27-05-1965,26-06-2007,138,Waxwing,Topeka,Kansas,USA,513696,IT,3966393,cbrendc,a38c9c34d32c74a053aa07ba3dc19a7cabc0c2a1e70a4340c14fb5ddcdac6df2
E98441,Noland,Bullcock,6154625166,nbullcockd@shoppx24.com,05-12-1978,04-04-2019,328,Mayer,Evansville,Indiana,USA,573477,Accounts,2903810,nbullcockd,c1ca8becf04cd7ac4b6052bbc3d99f983c0a0e36d57ef8295a7f4ef66e63792a
E12650,Lilly,Jobbings,8772412474,ljobbingse@shoppx24.com,07-11-1973,10-04-2011,143,Annamark,Washington,District of Columbia,USA,854775,Management,1756648,ljobbingse,38462944ff3745cfac3c1928419850fcc1eb9cee57e3ba577e14612d90221d4a
E79002,Aindrea,O'Duane,8656483893,aoduanef@shoppx24.com,08-02-1970,22-11-1996,101,Mandrake,Denver,Colorado,USA,993314,Customer_service,4502473,aoduanef,118ea9b160cea2cd1c2e6cbd7f26cfbfac0e788eee88c11c37dc0d6687ea0bfc
E70093,Lynelle,McTavy,7964676759,lmctavyg@shoppx24.com,28-02-1968,19-09-2003,714,Delladonna,Minneapolis,Minnesota,USA,645895,Management,3843821,lmctavyg,d42f8692d6aea1a73c1c30b9d44b16375c51f8fadb1f093eeeb9d814a7d9e2ee
E91869,Kyrstin,Crockley,8963581130,kcrockleyh@shoppx24.com,05-10-1990,26-12-1995,180,Crownhardt,Berkeley,California,USA,537977,Customer_service,4097391,kcrockleyh,829b2d7044a4765beaa54c27bec4519ae498f101eca5f5a6cff8657962fba53e
E21783,Jeannette,Garbett,1821951566,jgarbetti@shoppx24.com,09-07-1961,15-04-2009,681,Caliangt,Houston,Texas,USA,985722,IT,3749792,jgarbetti,8d77b7ad72889a6da981d07f3fe3cb66b06ef7c8f8ea5d3ce5a101a81bfe532d
E91024,Matilde,De Witt,9835295796,mdewittj@shoppx24.com,15-03-1962,11-12-1991,26,Arapahoe,Jefferson City,Missouri,USA,262621,Management,2245261,mdewittj,60cca9b00fca4254ee36de698ee4500c5c5eb5091d7f1449f8707de6698d4b3d
E21499,Ashbey,Curnow,8531318978,acurnowk@shoppx24.com,26-12-1961,07-07-2000,566,Reinke,Bronx,New York,USA,734957,IT,2377464,acurnowk,707c8b8c0daca3d652be4f438eb728f422ca701ea2d9cc8d40491b6d96ce1c84
E84473,Rosalind,Ditchett,7379741034,rditchettl@shoppx24.com,23-09-1974,03-12-2008,259,Park Meadow,Rochester,New York,USA,923208,Management,781305,rditchettl,85b7cdd40c886f84afadd0bdae414260244899e2b9fc107bb008dec08763bb5c
E29203,Nerita,Mountfort,1582963534,nmountfortm@shoppx24.com,09-12-1970,20-10-2009,849,Kim,Saint Louis,Missouri,USA,836608,Customer_service,3566119,nmountfortm,18a9671944b1f38218df3223c21d4d2e39c1dac16b7d20da69c28b55dd45f7c9
E46167,Perle,Clews,3162408614,pclewsn@shoppx24.com,07-06-1968,19-02-2000,717,Commercial,New Orleans,Louisiana,USA,586701,IT,3724673,pclewsn,960483172261ec2c3b3cf87b1246750259a3206ebc6174166fb4fe79024c16ea
E92063,Sheena,Cragoe,8057807697,scragoeo@shoppx24.com,24-09-1975,01-05-2017,712,Trailsway,Riverside,California,USA,295271,Management,2495989,scragoeo,3b875a963228ae3daaccd7fb61d472f557cab50db38990d0cbd337c9b044b3b2
E91069,Emmie,Sunnex,4274670476,esunnexp@shoppx24.com,24-12-1976,12-11-2005,888,Kipling,Cincinnati,Ohio,USA,849509,Customer_service,4243202,esunnexp,87f013e7fda5bca3c598aca11d376c2734245818596e0d8f6881ec3e9eade853
E73925,Yancey,MacCosty,4685795145,ymaccostyq@shoppx24.com,07-03-1976,06-12-1999,173,Oak,Saint Louis,Missouri,USA,470625,Management,3994905,ymaccostyq,2532141345d0d46ef03ad6fc134d4e2b6e55e70b6b749679d5a0d86a9b46a2ee
E79829,Ave,Plumbe,3781024581,aplumber@shoppx24.com,23-08-1992,01-07-2005,162,Bluejay,Los Angeles,California,USA,481898,Warehouse,3162993,aplumber,cb708a62c9b1303641e09383afddbe2f881386431932cc746216e34ebf7ec03e
E62151,Roderick,Guichard,6343022381,rguichards@shoppx24.com,30-11-1968,26-12-1990,217,Toban,Sacramento,California,USA,622352,Customer_service,706667,rguichards,5e47ad433c4db25509b20c68c7a5bb0f2daea6e5b56118a3e9bed667fcef7f06
E73649,Kacey,Maultby,3991037583,kmaultbyt@shoppx24.com,23-07-1971,10-08-1993,437,Melrose,Daytona Beach,Florida,USA,958209,Accounts,677085,kmaultbyt,4da90a073870353d1f0774dbf6ba09c233518e0919cc3a4ebc48f8eeacc1cef8
E83353,Wang,Pollitt,5619376996,wpollittu@shoppx24.com,25-06-1986,26-03-2009,956,Farragut,Chicago,Illinois,USA,302618,Accounts,4215928,wpollittu,79dcc61d94b43bf1ff54ad313da234e245562a4630d497d40c8d74a50953cbaf
E55419,Peter,Persich,1157364192,ppersichv@shoppx24.com,15-08-1984,28-10-2013,688,Thierer,Topeka,Kansas,USA,951896,Warehouse,2308141,ppersichv,cc6117ceac031cdbca32238d658c4aa2a2e7e9e37b1828f2531187d99f771a8a
E90057,Marie-jeanne,Arstingall,2289176096,marstingallw@shoppx24.com,26-06-1975,16-05-2005,176,Corscot,Arlington,Texas,USA,903594,Management,1914728,marstingallw,c732786a51ddbc35327838aca8c4fff1d218615574781098d88757702354bed4
E65103,Alexis,Nafzger,6302872692,anafzgerx@shoppx24.com,19-08-1981,04-10-2008,822,Continental,Hartford,Connecticut,USA,170407,Accounts,2885158,anafzgerx,408b1c8626b8e916bae789f98a3117877d5640d36d675b8e7b535f3231e28d6a
E57388,Osbourn,Wyldbore,9354839752,owyldborey@shoppx24.com,23-11-1980,05-10-1997,975,Merrick,Tampa,Florida,USA,827447,Warehouse,2894406,owyldborey,aeeef5806386069d3ac1363221c95d3cac4fd9a11c44fba678132d7fdaa09116
E10528,Cristiano,Malinowski,7433676902,cmalinowskiz@shoppx24.com,06-08-1999,19-09-2017,799,Linden,Bowie,Maryland,USA,997758,Marketing,4168301,cmalinowskiz,735792bbf0027d0a048e5d59ed2ab9b178f366d36b9cd4caad43b29885b93d70
E92913,Paolina,Van Brug,6072571563,pvanbrug10@shoppx24.com,03-12-1980,15-08-2011,166,Green Ridge,Saint Paul,Minnesota,USA,124631,Customer_service,1974811,pvanbrug10,9b2e812bbdc7b5005340636d7c14e1bc03ebd443f54befb2e9c64414dd870bab
E90105,Aidan,McGarrie,4201333284,amcgarrie11@shoppx24.com,17-07-1991,15-04-2001,360,Pearson,Kansas City,Missouri,USA,416471,Accounts,2106847,amcgarrie11,81ea4975d5ae38bbbed91adeac87941302b6f5aeb2aa63e5b501b093d4b0f9ee
E26200,Gonzales,Cartmell,5289465975,gcartmell12@shoppx24.com,25-09-1963,08-07-2020,724,Cherokee,El Paso,Texas,USA,804351,Customer_service,409560,gcartmell12,f713cc6c0efea0bf347de0762ef1438ce4f87bf0e31f04ef2e7ea2b15c4c5cec
E14576,Andy,Conibere,8926147571,aconibere13@shoppx24.com,11-08-1982,04-03-2021,275,Talisman,Washington,District of Columbia,USA,848273,IT,1629213,aconibere13,d0211497bffab1b4a5668f725325b0afc2cba851eebbc10541d2973b1e68a987
E77104,Way,Justice,2822507703,wjustice14@shoppx24.com,03-11-1978,27-08-2000,437,Sherman,Pompano Beach,Florida,USA,974260,Customer_service,2883761,wjustice14,cc12990f405f2ff70ac814ff7896eb32cb6f8ada881698490ed676c0a14b094a
E94775,Sib,Clapperton,9592037963,sclapperton15@shoppx24.com,13-03-1996,12-11-2012,341,Gina,New York City,New York,USA,709952,Management,4046263,sclapperton15,40663a921e01371d60cdd114571911c54ff532b587cfd0ab734a03ed1bb3e403
E27184,Janaya,Dimbylow,1052265258,jdimbylow16@shoppx24.com,19-03-1986,10-08-2015,765,Forster,Fort Wayne,Indiana,USA,834656,IT,2549190,jdimbylow16,d31d82de62f5dc33ce1aea354b2957b70118c75756b117569a21c8b15ce1bf27
E18567,Abba,Godbold,2618654722,agodbold17@shoppx24.com,05-12-1975,18-02-1990,832,Karstens,Peoria,Illinois,USA,625846,IT,3581262,agodbold17,a1fc4b4ccdd74bfc7077a23ba597caf2cef66163b2e3d035ef221c939f137cf0
E99759,Aubree,Beavors,9076336408,abeavors18@shoppx24.com,15-11-1977,01-02-2019,912,Dovetail,Chicago,Illinois,USA,909752,IT,2549678,abeavors18,6361fdb7701dd3e7fa5890682ae225da423708e8ffd02620cc286dddc2597123
E82731,Archibold,Rappport,5008782538,arappport19@shoppx24.com,22-06-1960,24-04-2013,629,Kim,Saint Petersburg,Florida,USA,323051,Warehouse,4026386,arappport19,9514184fc19163e436d15d87c5321fad903c7dad0f4192d8098b0d868f014570
E22285,Sandie,Pimlock,8673175340,spimlock1a@shoppx24.com,28-03-1991,04-04-2018,532,Hermina,Detroit,Michigan,USA,585923,Management,3569763,spimlock1a,5865d874ff8e757e1b40f990b191832e5da6cb42debcba9fac7ecc14e0cf312c
E12541,Jacquenetta,Ballantine,9761776788,jballantine1b@shoppx24.com,13-04-1981,08-08-1999,381,Forest Run,Scottsdale,Arizona,USA,759521,IT,3511443,jballantine1b,0b2f90f66de3701ac90703f981a0c4d602f527babdcb3762b5bebf6de65197dd
E73939,Banky,Wooldridge,5182617799,bwooldridge1c@shoppx24.com,01-11-1995,21-12-2017,251,Ridgeway,San Bernardino,California,USA,119688,Management,384546,bwooldridge1c,d87a736a7eaf5615d802d666bb3eaba0d1bf315b90c778ecbcb47f390ab65fd6
E74623,Wes,Tortis,3394016881,wtortis1d@shoppx24.com,19-06-1982,28-11-1996,254,South,Houston,Texas,USA,194716,Marketing,625789,wtortis1d,ad2fa9c2c683c5bad6acd483fd3b8ddd863783dbc650778dbc6296a9815c4481
